sid,lid
838,1606
839,1601
839,1604
839,1607
840,1601
840,1603
840,1606
841,1601
841,1604
841,1607
842,1601
842,1603
842,1606
843,1601
843,1604
843,1607
844,1601
844,1604
844,1606
845,1601
845,1604
845,1607
846,1601
846,1604
846,1606
847,1601
847,1603
847,1607
848,1601
848,1603
848,1606
849,1601
849,1604
849,1607
850,1601
850,1603
850,1606
851,1601
851,1603
851,1607
852,1601
852,1604
852,1606
853,1601
853,1604
853,1607
854,1601
854,1603
854,1606
855,1601
855,1604
855,1607
856,1601
856,1603
856,1606
857,1601
857,1602
857,1605
858,1601
858,1603
858,1607
859,1601
859,1603
859,1606
860,1601
860,1603
860,1607
861,1601
861,1603
861,1606
862,1601
862,1603
862,1607
863,1601
863,1604
863,1606
864,1601
864,1603
864,1607
865,1601
865,1603
865,1606
866,1601
866,1603
866,1607
867,1601
867,1602
867,1605
868,1601
868,1602
868,1605
869,1601
869,1602
869,1605
870,1601
870,1604
870,1606
871,1601
871,1603
871,1607
872,1601
872,1603
872,1606
873,1601
873,1602
873,1605
874,1601
874,1603
874,1607
875,1601
875,1602
875,1605
876,1601
876,1603
876,1606
877,1601
877,1604
877,1607
878,1601
878,1604
878,1606
879,1601
879,1602
879,1605
880,1601
880,1604
880,1607
881,1601
881,1603
881,1606
882,1601
882,1604
882,1607
883,1601
883,1603
883,1606
884,1601
884,1604
884,1607
885,1601
885,1604
885,1606
886,1601
886,1603
886,1607
887,1601
887,1604
887,1606
888,1601
888,1604
888,1607
889,1601
889,1603
889,1606
890,1601
890,1602
890,1605
891,1601
891,1604
891,1607
892,1601
892,1602
892,1605
893,1601
893,1603
893,1606
894,1601
894,1603
894,1607
895,1601
895,1602
895,1605
896,1601
896,1603
896,1606
897,1601
897,1604
897,1607
898,1601
898,1604
898,1606
899,1601
899,1603
899,1607
900,1601
900,1604
900,1606
901,1601
901,1604
901,1607
902,1601
902,1603
902,1606
903,1601
903,1604
903,1607
904,1601
904,1603
904,1606
905,1601
905,1604
905,1607
906,1601
906,1603
906,1606
907,1601
907,1604
907,1607
908,1601
908,1603
908,1606
909,1601
909,1603
909,1607
910,1601
910,1603
910,1606
911,1601
911,1603
911,1607
912,1601
912,1604
912,1606
913,1601
913,1603
913,1607
914,1601
914,1604
914,1606
915,1601
915,1603
915,1607
916,1601
916,1603
916,1606
917,1601
917,1604
917,1607
918,1601
918,1604
918,1606
919,1601
919,1602
919,1605
920,1601
920,1603
920,1607
921,1601
921,1603
921,1606
922,1601
922,1604
922,1607
923,1601
923,1604
923,1606
924,1601
924,1604
924,1607
925,1601
925,1603
925,1606
926,1601
926,1603
926,1607
927,1601
927,1603
927,1606
928,1601
928,1602
928,1605
929,1601
929,1603
929,1607
930,1601
930,1604
930,1606
931,1601
931,1604
